Input,Final_RE,Final_IM,Magnitude,Mandel_Match
705,2116,0,2116.00,true
706,1,-1059,1059.00,true
707,2122,0,2122.00,true
708,1195,1191,1687.16,true
709,2128,0,2128.00,true
710,1,-1065,1065.00,true
711,2134,0,2134.00,true
712,1204,-6,1204.01,true
713,2140,0,2140.00,true
714,1,-1071,1071.00,true
715,2146,0,2146.00,true
716,2032,12,2032.04,true
717,2152,0,2152.00,true
718,1,-1077,1077.00,true
719,2158,0,2158.00,true
720,1177,-33,1177.46,true
721,2164,0,2164.00,true
722,1,-1083,1083.00,true
723,2170,0,2170.00,true
724,1222,1218,1725.34,true
725,2176,0,2176.00,true
726,1,-1089,1089.00,true
727,2182,0,2182.00,true
728,1033,-1041,1466.55,true
729,2188,0,2188.00,true
730,1,-1095,1095.00,true
731,2194,0,2194.00,true
732,937,-969,1347.94,true
733,2200,0,2200.00,true
734,1,-1101,1101.00,true
735,2206,0,2206.00,true
736,19,-1041,1041.17,true
737,2212,0,2212.00,true
738,1,-1107,1107.00,true
739,2218,0,2218.00,true
740,1249,1245,1763.53,true
741,2224,0,2224.00,true
742,1,-1113,1113.00,true
743,2230,0,2230.00,true
744,1258,-6,1258.01,true
745,2236,0,2236.00,true
746,1,-1119,1119.00,true
747,2242,0,2242.00,true
748,-35,1281,1281.48,true
749,2248,0,2248.00,true
750,1,-1125,1125.00,true
751,2254,0,2254.00,true
752,-8,1434,1434.02,true
753,2260,0,2260.00,true
754,1,-1131,1131.00,true
755,2266,0,2266.00,true
756,1276,1272,1801.71,true
757,2272,0,2272.00,true
758,1,-1137,1137.00,true
759,2278,0,2278.00,true
760,7,1443,1443.02,true
761,2284,0,2284.00,true
762,1,-1143,1143.00,true
763,2290,0,2290.00,true
764,-965,-969,1367.55,true
765,2296,0,2296.00,true
766,1,-1149,1149.00,true
767,2302,0,2302.00,true
768,1312,48,1312.88,true
769,2308,0,2308.00,true
770,1,-1155,1155.00,true
771,2314,0,2314.00,true
772,1303,1299,1839.89,true
773,2320,0,2320.00,true
774,1,-1161,1161.00,true
775,2326,0,2326.00,true
776,1312,-6,1312.01,true
777,2332,0,2332.00,true
778,1,-1167,1167.00,true
779,2338,0,2338.00,true
780,1114,-1104,1568.38,true
781,2344,0,2344.00,true
782,1,-1173,1173.00,true
783,2350,0,2350.00,true
784,-830,840,1180.89,true
785,2356,0,2356.00,true
786,1,-1179,1179.00,true
787,2362,0,2362.00,true
788,1330,1326,1878.08,true
789,2368,0,2368.00,true
790,1,-1185,1185.00,true
791,2374,0,2374.00,true
792,-1001,3,1001.00,true
793,2380,0,2380.00,true
794,1,-1191,1191.00,true
795,2386,0,2386.00,true
796,-965,-807,1257.96,true
797,2392,0,2392.00,true
798,1,-1197,1197.00,true
799,2398,0,2398.00,true
800,16,-1140,1140.11,true
801,2404,0,2404.00,true
802,1,-1203,1203.00,true
803,2410,0,2410.00,true
804,1357,1353,1916.26,true
805,2416,0,2416.00,true
806,1,-1209,1209.00,true
807,2422,0,2422.00,true
808,1366,-6,1366.01,true
809,2428,0,2428.00,true
810,1,-1215,1215.00,true
811,2434,0,2434.00,true
812,1288,-24,1288.22,true
813,2440,0,2440.00,true
814,1,-1221,1221.00,true
815,2446,0,2446.00,true
816,1177,-1167,1657.47,true
817,2452,0,2452.00,true
818,1,-1227,1227.00,true
819,2458,0,2458.00,true
820,1384,1380,1954.45,true
821,2464,0,2464.00,true
822,1,-1233,1233.00,true
823,2470,0,2470.00,true
824,-1043,3,1043.00,true
825,2476,0,2476.00,true
826,1,-1239,1239.00,true
827,2482,0,2482.00,true
828,-1046,-1050,1482.10,true
829,2488,0,2488.00,true
830,1,-1245,1245.00,true
831,2494,0,2494.00,true
832,1288,-24,1288.22,true
833,2500,0,2500.00,true
834,1,-1251,1251.00,true
835,2506,0,2506.00,true
836,1411,1407,1992.63,true
837,2512,0,2512.00,false
838,1,-1257,1257.00,true
839,2518,0,2518.00,false
840,1420,-6,1420.01,true
841,2524,0,2524.00,false
842,1,-1263,1263.00,true
843,2530,0,2530.00,false
844,-1064,-6,1064.02,true
845,2536,0,2536.00,false
846,1,-1269,1269.00,true
847,2542,0,2542.00,false
848,1312,48,1312.88,true
849,2548,0,2548.00,false
850,1,-1275,1275.00,true
851,2554,0,2554.00,false
852,1438,1434,2030.81,true
853,2560,0,2560.00,false
854,1,-1281,1281.00,true
855,2566,0,2566.00,false
856,7,1623,1623.02,true
857,2572,0,2572.00,false
858,1,-1287,1287.00,true
859,2578,0,2578.00,false
860,817,813,1152.59,true
861,2584,0,2584.00,false
862,1,-1293,1293.00,true
863,2590,0,2590.00,false
864,-1748,-24,1748.16,true
865,2596,0,2596.00,false
866,1,-1299,1299.00,true
867,2602,0,2602.00,false
868,1465,1461,2069.00,true
869,2608,0,2608.00,false
870,1,-1305,1305.00,true
871,2614,0,2614.00,false
872,1474,-6,1474.01,true
873,2620,0,2620.00,false
874,1,-1311,1311.00,true
875,2626,0,2626.00,false
876,-1856,12,1856.04,true
877,2632,0,2632.00,false
878,1,-1317,1317.00,true
879,2638,0,2638.00,false
880,-1118,-6,1118.02,true
881,2644,0,2644.00,false
882,1,-1323,1323.00,true
883,2650,0,2650.00,false
884,1492,1488,2107.18,true
885,2656,0,2656.00,false
886,1,-1329,1329.00,true
887,2662,0,2662.00,false
888,-2,-1266,1266.00,true
889,2668,0,2668.00,false
890,1,-1335,1335.00,true
891,2674,0,2674.00,false
892,-1127,-1131,1596.65,true
893,2680,0,2680.00,false
894,1,-1341,1341.00,true
895,2686,0,2686.00,false
896,-1127,-1023,1522.06,true
897,2692,0,2692.00,false
898,1,-1347,1347.00,true
899,2698,0,2698.00,false
900,1,1011,1011.00,true
901,2704,0,2704.00,false
902,1,-1353,1353.00,true
903,2710,0,2710.00,false
904,1528,-6,1528.01,true
905,2716,0,2716.00,false
906,1,-1359,1359.00,true
907,2722,0,2722.00,false
908,7,-1293,1293.02,true
909,2728,0,2728.00,false
910,1,-1365,1365.00,true
911,2734,0,2734.00,false
912,988,-330,1041.65,true
913,2740,0,2740.00,false
914,1,-1371,1371.00,true
915,2746,0,2746.00,false
916,1,1029,1029.00,true
917,2752,0,2752.00,false
918,1,-1377,1377.00,true
919,2758,0,2758.00,false
920,-1163,3,1163.00,true
921,2764,0,2764.00,false
922,1,-1383,1383.00,true
923,2770,0,2770.00,false
924,-8,-1320,1320.02,true
925,2776,0,2776.00,false
926,1,-1389,1389.00,true
927,2782,0,2782.00,false
928,1393,1425,1992.76,true
929,2788,0,2788.00,false
930,1,-1395,1395.00,true
931,2794,0,2794.00,false
932,1,1047,1047.00,true
933,2800,0,2800.00,false
934,1,-1401,1401.00,true
935,2806,0,2806.00,false
936,1582,-6,1582.01,true
937,2812,0,2812.00,false
938,1,-1407,1407.00,true
939,2818,0,2818.00,false
940,16,-1302,1302.10,true
941,2824,0,2824.00,false
942,1,-1413,1413.00,true
943,2830,0,2830.00,false
944,1357,-1347,1912.03,true
945,2836,0,2836.00,false
946,1,-1419,1419.00,true
947,2842,0,2842.00,false
948,1,1065,1065.00,true
949,2848,0,2848.00,false
950,1,-1425,1425.00,true
951,2854,0,2854.00,false
952,-1205,3,1205.00,true
953,2860,0,2860.00,false
954,1,-1431,1431.00,true
955,2866,0,2866.00,false
956,-1208,-1212,1711.20,true
957,2872,0,2872.00,false
958,1,-1437,1437.00,true
959,2878,0,2878.00,false
960,16,-1302,1302.10,true
961,2884,0,2884.00,false
962,1,-1443,1443.00,true
963,2890,0,2890.00,false
964,1,1083,1083.00,true
965,2896,0,2896.00,false
966,1,-1449,1449.00,true
967,2902,0,2902.00,false
968,1636,-6,1636.01,true
969,2908,0,2908.00,false
970,1,-1455,1455.00,true
971,2914,0,2914.00,false
972,-1226,-6,1226.01,true
973,2920,0,2920.00,false
974,1,-1461,1461.00,true
975,2926,0,2926.00,false
976,1303,-1347,1874.09,true
