a_divisor,b_multiplier,c_adder,collatz_conv_rate,z_v1,z_log,z_polar,z_reciprocal,escape_v1,escape_log,escape_polar,escape_reciprocal
4,6,4,0.88,(1.5+1j),(-0.5945348918918356-1j),(2.0801257358446095+1.3867504905630725j),(0.041666666666666664+0.0625j),1,3,0,100
10,10,2,0.0,(1+0.2j),(-1-2.6094379124341005j),(1.1766968108291043+0.23533936216582088j),(0.01+0.05j),1,0,1,100
10,7,6,0.0,(0.7+0.6j),(-1.3566749439387322-1.5108256237659905j),(0.9870335830748855+0.8460287854927591j),(0.014285714285714285+0.016666666666666666j),2,0,1,100
3,3,2,0.0,(1+0.6666666666666666j),(-1-1.4054651081081644j),(1.3867504905630728+0.9245003270420483j),(0.1111111111111111+0.16666666666666666j),1,1,1,100
10,7,4,0.0,(0.7+0.4j),(-1.3566749439387322-1.916290731874155j),(0.9550674563369052+0.5457528321925171j),(0.014285714285714285+0.025j),2,0,1,100
4,5,1,0.0,(1.25+0.25j),(-0.7768564486857903-2.386294361119891j),(1.4708710135363803+0.29417420270727607j),(0.05+0.25j),1,0,1,100
2,5,3,0.14,(2.5+1.5j),(-0.0837092681258449-0.5945348918918356j),(3.429971702850177+2.0579830217101063j),(0.1+0.16666666666666666j),0,100,0,100
4,6,5,0.0,(1.5+1.25j),(-0.5945348918918356-0.7768564486857903j),(2.1126085188927837+1.7605070990773195j),(0.041666666666666664+0.05j),1,4,0,100
5,10,1,0.0,(2+0.2j),(-0.3068528194400547-2.6094379124341005j),(2.1890818184619762+0.21890818184619762j),(0.02+0.2j),0,0,0,100
3,10,10,0.0,(3.3333333333333335+3.3333333333333335j),(0.2039728043259359+0.2039728043259359j),(4.714045207910317+4.714045207910316j),(0.03333333333333333+0.03333333333333333j),0,100,0,100
3,7,6,0.0,(2.3333333333333335+2j),(-0.15270213961279655-0.3068528194400547j),(3.290111943582952+2.82009595164253j),(0.047619047619047616+0.05555555555555555j),0,100,0,100
5,3,6,0.0,(0.6+1.2j),(-1.5108256237659905-0.8176784432060452j),(0.8049844718999245+1.6099689437998486j),(0.06666666666666667+0.03333333333333333j),1,2,1,100
5,1,6,0.35,(0.2+1.2j),(-2.6094379124341005-0.8176784432060452j),(0.2301585822275001+1.3809514933650013j),(0.2+0.03333333333333333j),1,0,1,100
5,2,3,0.27,(0.4+0.6j),(-1.916290731874155-1.5108256237659905j),(0.5547001962252291+0.8320502943378437j),(0.1+0.06666666666666667j),14,0,2,100
